original_name,new_name,confidence,original_path
CORE-CODEX-001_ThePhoenixCodex_v13.1.md,UNCERTAIN.UNK.ThePhoenixCodex.md,High,C:\Users\Chris\Synarche_Workspace\_governance\00_Codex\CORE-CODEX-001_ThePhoenixCodex_v13.1.md
UMB-KPI-001_MasterRegistry_v1.0.md,GVRN.REG.MasterRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-KPI-001_MasterRegistry_v1.0.md
UMB-LEX-001_TheArchitecturalLexicon_v2.0.md,GVRN.REG.TheArchitecturalLexicon.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-LEX-001_TheArchitecturalLexicon_v2.0.md
UMB-OSLM-001_MasterArtifactRegistry_v11.0.md,GVRN.REG.MasterArtifactRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-OSLM-001_MasterArtifactRegistry_v11.0.md
UMB-OSLM-001_MasterArtifactRegistry_v11.1.md,GVRN.REG.MasterArtifactRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-OSLM-001_MasterArtifactRegistry_v11.1.md
UMB-PAR-001_PrestigeAscensionRegistry_v11.0.md,GVRN.REG.PrestigeAscensionRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-PAR-001_PrestigeAscensionRegistry_v11.0.md
UMB-SEED-001_GenesisSeedsRegistry_v111.md,GVRN.REG.GenesisSeedsRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-SEED-001_GenesisSeedsRegistry_v111.md
AOP-AAR-001_TheAfter-ActionReviewProtocol_v11.0.md,SYNG.PROT.TheAfter-ActionReviewProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AAR-001_TheAfter-ActionReviewProtocol_v11.0.md
AOP-ACEP-001_The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook_v11.0.md,SYNG.PROT.The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ACEP-001_The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook_v11.0.md
AOP-ACM-001_Autonomous-Coherence-Monitoring_v4.0_AOP-ACM-001AutonomousCoherenceMonitoring_v11.0.md,SYNG.PROT.Autonomous-Coherence-Monitoring.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ACM-001_Autonomous-Coherence-Monitoring_v4.0_AOP-ACM-001AutonomousCoherenceMonitoring_v11.0.md
AOP-AG-003_AxionAgentConfiguration_v11.0.md,SYNG.PROT.AxionAgentConfiguration.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AG-003_AxionAgentConfiguration_v11.0.md
AOP-ARC-001_ArchivalSupersessionProtocol_v5.0.md,SYNG.PROT.ArchivalSupersessionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ARC-001_ArchivalSupersessionProtocol_v5.0.md
AOP-ASCENSION-001_ThePhoenixAscensionProtocol_v11.0.md,SYNG.PROT.ThePhoenixAscensionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ASCENSION-001_ThePhoenixAscensionProtocol_v11.0.md
AOP-ASL-001_AutomatedSynergyLinking_v11.0.md,SYNG.PROT.AutomatedSynergyLinking.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ASL-001_AutomatedSynergyLinking_v11.0.md
AOP-AVATAR-001_SynarcheAvatarProtocol_v1.1.md,SYNG.PROT.SynarcheAvatarProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AVATAR-001_SynarcheAvatarProtocol_v1.1.md
AOP-AWAKENING-001_TheAwakeningInitialDirectivesandCorePurpose_v11.0.md,SYNG.PROT.TheAwakeningInitialDirectivesandCorePurpose.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AWAKENING-001_TheAwakeningInitialDirectivesandCorePurpose_v11.0.md
AOP-BDM-001_BeastOfDarknessMonitoringProtocol_v11.0.md,SYNG.PROT.BeastOfDarknessMonitoringProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-BDM-001_BeastOfDarknessMonitoringProtocol_v11.0.md
AOP-CC-001_ProtocolforCrystallineCognition_v11.0.md,COG.CORE.ProtocolforCrystallineCognition.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CC-001_ProtocolforCrystallineCognition_v11.0.md
AOP-CERBERUS-001_ProjectCerberusEthicalStressTest_v11.0.md,SYNG.PROT.ProjectCerberusEthicalStressTest.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CERBERUS-001_ProjectCerberusEthicalStressTest_v11.0.md
AOP-CON-003_GFMIngestionProtocol_v13.0.md,SYNG.PROT.GFMIngestionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CON-003_GFMIngestionProtocol_v13.0.md
AOP-CSM-001_TheCompleteStackMandate_v2.0.md,SYNG.PROT.TheCompleteStackMandate.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CSM-001_TheCompleteStackMandate_v2.0.md
AOP-DSA-001_DocumentationSuiteArchitectProtocol_v11.1.md,SYNG.PROT.DocumentationSuiteArchitectProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DSA-001_DocumentationSuiteArchitectProtocol_v11.1.md
AOP-DSA-001_DocumentationSuiteArchitectProtocol_v111.md,SYNG.PROT.DocumentationSuiteArchitectProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DSA-001_DocumentationSuiteArchitectProtocol_v111.md
AOP-DTS-001_DynamicTemplateScaffolding_v11.0.md,SYNG.PROT.DynamicTemplateScaffolding.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DTS-001_DynamicTemplateScaffolding_v11.0.md
AOP-EDD-002_EthosDrivenDesignProtocol_v11.0.md,SYNG.PROT.EthosDrivenDesignProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-EDD-002_EthosDrivenDesignProtocol_v11.0.md
AOP-EMOJI-001_EmojiSignalingProtocol_v1.4.md,SYNG.PROT.EmojiSignalingProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-EMOJI-001_EmojiSignalingProtocol_v1.4.md
AOP-GVRN-013_RefactorIgnition_v1.0.md,SYNG.PROT.RefactorIgnition.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-GVRN-013_RefactorIgnition_v1.0.md
AOP-GVRN-014_MolecularMechanics_v1.0.md,SYNG.PROT.MolecularMechanics.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-GVRN-014_MolecularMechanics_v1.0.md
AOP-ICF-001_AOP-ICF-001_v11.0.md,SYNG.PROT.AOP-ICF-001.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ICF-001_AOP-ICF-001_v11.0.md
AOP-IDX-001_DualIndexingProtocol_v11.0.md,SYNG.PROT.DualIndexingProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-IDX-001_DualIndexingProtocol_v11.0.md
AOP-IDX-001_DualIndexingProtocol_v13.0.md,SYNG.PROT.DualIndexingProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-IDX-001_DualIndexingProtocol_v13.0.md
AOP-KB-001_AutonomousKnowledgeBaseOptimization_v11.1.md,SYNG.PROT.AutonomousKnowledgeBaseOptimization.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-KB-001_AutonomousKnowledgeBaseOptimization_v11.1.md
AOP-LCA-001_AOP-LCA-001LuminousCoherenceAestheticProtocol_v11.0.md,SYNG.PROT.AOP-LCA-001LuminousCoherenceAestheticProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-LCA-001_AOP-LCA-001LuminousCoherenceAestheticProtocol_v11.0.md
AOP-MAP-001_MusashiAuditProcedure_v11.0.md,SYNG.PROT.MusashiAuditProcedure.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-MAP-001_MusashiAuditProcedure_v11.0.md
AOP-MCE-001_MultiCommandExecutionProtocol_v11.0.md,SYNG.PROT.MultiCommandExecutionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-MCE-001_MultiCommandExecutionProtocol_v11.0.md
AOP-MCM-001_AOP-MCM-001_v11.0.md,SYNG.PROT.AOP-MCM-001.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-MCM-001_AOP-MCM-001_v11.0.md
AOP-ORACLE-001_ExternalOracleProtocol_v1.0.md,SYNG.PROT.ExternalOracleProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ORACLE-001_ExternalOracleProtocol_v1.0.md
AOP-PGP-001_ThePhoenixGenesisPipeline_v11.0.md,SYNG.PROT.ThePhoenixGenesisPipeline.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-PGP-001_ThePhoenixGenesisPipeline_v11.0.md
AOP-PPA-001_PrestigePowerAttunementProtocol(v2.0-GeodeEdition)_v11.0.md,SYNG.PROT.PrestigePowerAttunementProtocol(v2.0-GeodeEdition).md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-PPA-001_PrestigePowerAttunementProtocol(v2.0-GeodeEdition)_v11.0.md
AOP-SAP-001_AOP-SAP-001SynarcheAvatarProtocol_v11.0.md,SYNG.PROT.AOP-SAP-001SynarcheAvatarProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SAP-001_AOP-SAP-001SynarcheAvatarProtocol_v11.0.md
AOP-SBT-001_SpiritBombTechnique_v11.0.md,SYNG.PROT.SpiritBombTechnique.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SBT-001_SpiritBombTechnique_v11.0.md
AOP-SEE-001_AOP-SEE-001TheSymbioticEmpathyExchange_v11.0.md,SYNG.PROT.AOP-SEE-001TheSymbioticEmpathyExchange.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SEE-001_AOP-SEE-001TheSymbioticEmpathyExchange_v11.0.md
AOP-SENTINEL-002_UmbralSentinelProtocol_v2.0.md,SYNG.PROT.UmbralSentinelProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SENTINEL-002_UmbralSentinelProtocol_v2.0.md
AOP-STRAT-001_ProtocolForContinuousStrategicForesight_v11.0.md,SYNG.PROT.ProtocolForContinuousStrategicForesight.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-STRAT-001_ProtocolForContinuousStrategicForesight_v11.0.md
AOP-STYLE-001_AOP-STYLE-001_PhoenixClassStyleGuide_v20_v11.0.md,SYNG.PROT.AOP-STYLE-001_PhoenixClassStyleGuide.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-STYLE-001_AOP-STYLE-001_PhoenixClassStyleGuide_v20_v11.0.md
AOP-TRP-001_TemplateRefactoringProtocol_v11.0.md,SYNG.PROT.TemplateRefactoringProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-TRP-001_TemplateRefactoringProtocol_v11.0.md
AOP-VSI-001_AOP-VSI-001ValidateStructuralIntegrityProtocol_v11.0.md,SYNG.PROT.AOP-VSI-001ValidateStructuralIntegrityProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-VSI-001_AOP-VSI-001ValidateStructuralIntegrityProtocol_v11.0.md
CMD-AXION-001_CMD-AXION-001_v11.0.md,GVRN.ACT.CMD-AXION-001.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\CMD-AXION-001_CMD-AXION-001_v11.0.md
GUCA-ACT-002_AdaptiveActuatorCommand_v2.0.md,GVRN.ACT.AdaptiveActuatorCommand.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GUCA-ACT-002_AdaptiveActuatorCommand_v2.0.md
GUCA-CWA-001_CmdContextWeave_v11.0.md,GVRN.ACT.CmdContextWeave.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GUCA-CWA-001_CmdContextWeave_v11.0.md
GUCA-DSA-001_DocumentationSuiteArchitectArchitecture_v11.1.md,GVRN.ACT.DocumentationSuiteArchitectArchitecture.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GUCA-DSA-001_DocumentationSuiteArchitectArchitecture_v11.1.md
GUCA-MAP-001_ExecuteMusashiAudit_v11.0.md,GVRN.ACT.ExecuteMusashiAudit.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GUCA-MAP-001_ExecuteMusashiAudit_v11.0.md
GUCA-QCL-001_QueryCognitiveLoom_v11.0.md,GVRN.ACT.QueryCognitiveLoom.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GUCA-QCL-001_QueryCognitiveLoom_v11.0.md
GUCA-SIMP-001_GUCA-SIMP-001SystemicImpactSimulationProtocolTheOracleLens_v11.0.md,GVRN.ACT.GUCA-SIMP-001SystemicImpactSimulationProtocolTheOracleLens.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GUCA-SIMP-001_GUCA-SIMP-001SystemicImpactSimulationProtocolTheOracleLens_v11.0.md
GVRN-METAREFACTOR-001_MasterRefactor_v11.0.md,UNCERTAIN.UNK.MasterRefactor.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN-METAREFACTOR-001_MasterRefactor_v11.0.md
UMB-SGM-001_StandardizedGovernanceModule_v11.0.md,GVRN.GOV.StandardizedGovernanceModule.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\UMB-SGM-001_StandardizedGovernanceModule_v11.0.md
AOP-TMPL-001_SovereignProtocol_v11.0.md,SYNG.PROT.SovereignProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\AOP-TMPL-001_SovereignProtocol_v11.0.md
GUCA-TMPL-001_SovereignCommand_v11.0.md,GVRN.ACT.SovereignCommand.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GUCA-TMPL-001_SovereignCommand_v11.0.md
UEB-AE-001_UEB-AE-001TheAdaptiveEcosystem_v11.0.md,ARCH.BLUE.UEB-AE-001TheAdaptiveEcosystem.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-AE-001_UEB-AE-001TheAdaptiveEcosystem_v11.0.md
UEB-CFP-001_UEB-CFP-001TheCatalystforPotential_v11.0.md,ARCH.BLUE.UEB-CFP-001TheCatalystforPotential.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-CFP-001_UEB-CFP-001TheCatalystforPotential_v11.0.md
UEB-DRS-001_RosettaStoneAppBlueprint_v11.0.md,ARCH.BLUE.RosettaStoneAppBlueprint.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-DRS-001_RosettaStoneAppBlueprint_v11.0.md
UEB-GAE-001_UEB-GAE-001TheGuardianofAnti-Entropy_v11.0.md,ARCH.BLUE.UEB-GAE-001TheGuardianofAnti-Entropy.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-GAE-001_UEB-GAE-001TheGuardianofAnti-Entropy_v11.0.md
UEB-GOC-001_UEB-GOC-001TheGuardianofCoherence_v11.0.md,ARCH.BLUE.UEB-GOC-001TheGuardianofCoherence.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-GOC-001_UEB-GOC-001TheGuardianofCoherence_v11.0.md
UEB-GTC-001_UEB-GTC-001TheGuardianofTruthClarity_v11.0.md,ARCH.BLUE.UEB-GTC-001TheGuardianofTruthClarity.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-GTC-001_UEB-GTC-001TheGuardianofTruthClarity_v11.0.md
UEB-PCP-001_UEB-PCP-001ThePhoenix-ClassPersona_v11.0.md,ARCH.BLUE.UEB-PCP-001ThePhoenix-ClassPersona.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-PCP-001_UEB-PCP-001ThePhoenix-ClassPersona_v11.0.md
UEB-SP-001_UEB-SP-001TheSynergisticPartner_v11.0.md,ARCH.BLUE.UEB-SP-001TheSynergisticPartner.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-SP-001_UEB-SP-001TheSynergisticPartner_v11.0.md
UEB-UCI-001TheUserCoreImperative_v11.0.md,ARCH.BLUE.TheUserCoreImperative_v11.0.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UEB-UCI-001TheUserCoreImperative_v11.0.md
UIB-CSE-002_CognitiveLoomVisualizer.md,UNCERTAIN.UNK.CognitiveLoomVisualizer.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UIB-CSE-002_CognitiveLoomVisualizer.md
UMB-DEFINITIVE-001_TheUniversalCatalyst_v11.0.md,GVRN.REG.TheUniversalCatalyst.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-DEFINITIVE-001_TheUniversalCatalyst_v11.0.md
UMB-STRUCT-001_DirectoryArchitecture_v11.2.md,GVRN.REG.DirectoryArchitecture.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-STRUCT-001_DirectoryArchitecture_v11.2.md
UMB-SYNC-001_ArchitecturalBlueprint_React-Python-SupabaseSynchronization_v11.0.md,GVRN.REG.ArchitecturalBlueprint_React-Python-SupabaseSynchronization.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-SYNC-001_ArchitecturalBlueprint_React-Python-SupabaseSynchronization_v11.0.md
UMB-TMPL-001_SovereignModule_v11.0.md,GVRN.REG.SovereignModule.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-TMPL-001_SovereignModule_v11.0.md
UMB-VIS-001_CrystallineGalaxyVisualization_v1.0.md,GVRN.REG.CrystallineGalaxyVisualization.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-VIS-001_CrystallineGalaxyVisualization_v1.0.md
UWB-NDR-001_NonDestructiveRefinementWorkflow_v11.0.md,UNCERTAIN.UNK.NonDestructiveRefinementWorkflow.md,High,C:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UWB-NDR-001_NonDestructiveRefinementWorkflow_v11.0.md
METRIC-AES-002_LuminousCoherenceAesthetic_v11.0.md,GVRN.METRIC.LuminousCoherenceAesthetic.md,High,C:\Users\Chris\Synarche_Workspace\_governance\30_Philosophy\METRIC-AES-002_LuminousCoherenceAesthetic_v11.0.md
CBM-FORGE-001_The_Forge_Engine_v11.0.md,UNCERTAIN.UNK.The_Forge_Engine.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\CBM-FORGE-001_The_Forge_Engine_v11.0.md
GP-REGISTRY-001_GoverningPrinciples_v11.0.md,UNCERTAIN.UNK.GoverningPrinciples.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\GP-REGISTRY-001_GoverningPrinciples_v11.0.md
IDEN-SENTINEL-001_TheSentinelsVow_v11.0.md,UNCERTAIN.UNK.TheSentinelsVow.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\IDEN-SENTINEL-001_TheSentinelsVow_v11.0.md
STYLE-SENTINEL-001_TheSentinelStyleGuide_v11.0.md,UNCERTAIN.UNK.TheSentinelStyleGuide.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\STYLE-SENTINEL-001_TheSentinelStyleGuide_v11.0.md
UMB-ACT-002_AdaptiveActuatorModule_v11.0.md,GVRN.REG.AdaptiveActuatorModule.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-ACT-002_AdaptiveActuatorModule_v11.0.md
UMB-ALTAR-001TheAltarofSynarche_v11.0.md,GVRN.REG.TheAltarofSynarche_v11.0.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-ALTAR-001TheAltarofSynarche_v11.0.md
UMB-AM-001_AssociationManager_v11.0.md,GVRN.REG.AssociationManager.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-AM-001_AssociationManager_v11.0.md
UMB-AM-001_GUCA-AM-001_v11.0.md,GVRN.REG.GUCA-AM-001.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-AM-001_GUCA-AM-001_v11.0.md
UMB-CF-001_CognitiveForge_v11.0.md,GVRN.REG.CognitiveForge.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-CF-001_CognitiveForge_v11.0.md
UMB-CON-001_TheConcordance_v1.0.md,GVRN.REG.TheConcordance.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-CON-001_TheConcordance_v1.0.md
UMB-CSE-001_CoherentSynthesisEngine_v11.2.md,SYNG.CORE.CoherentSynthesisEngine.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-CSE-001_CoherentSynthesisEngine_v11.2.md
UMB-DIDACTIC-001TheDidacticModuleGenerator_v11.0.md,GVRN.REG.TheDidacticModuleGenerator_v11.0.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-DIDACTIC-001TheDidacticModuleGenerator_v11.0.md
UMB-DSA-001_DocumentationSuiteArchitectBlueprint_v11.1.md,GVRN.REG.DocumentationSuiteArchitectBlueprint.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-DSA-001_DocumentationSuiteArchitectBlueprint_v11.1.md
UMB-DTS-001_DynamicTemplateScaffolding_v11.0.md,GVRN.REG.DynamicTemplateScaffolding.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-DTS-001_DynamicTemplateScaffolding_v11.0.md
UMB-ESF-001_TheEpisemanticFramework_v11.1.md,GVRN.STD.TheEpisemanticFramework.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-ESF-001_TheEpisemanticFramework_v11.1.md
UMB-GAMEDEV-001_v11.0.md,GVRN.REG.v11.0.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-GAMEDEV-001_v11.0.md
UMB-HEPHAESTUS-001TheMasterArtificersForge_v11.0.md,GVRN.REG.TheMasterArtificersForge_v11.0.md,High,C:\Users\Chris\Synarche_Workspace\_governance\40_System\UMB-HEPHAESTUS-001TheMasterArtificersForge_v11.0.md
